Designator,Mid X,Mid Y,Rotation,Layer
C1,42.300176,-66.1416,0.0,top
C10,112.791675,-66.1416,0.0,top
C11,120.66463,-66.1416,0.0,top
C12,128.537585,-66.1416,0.0,top
C13,136.41054,-66.1416,0.0,top
C14,144.283495,-66.1416,0.0,top
C15,152.15645,-66.1416,0.0,top
C16,160.029405,-66.1416,0.0,top
C2,50.046131,-66.1416,0.0,top
C3,57.919086,-66.1416,0.0,top
C4,65.792041,-66.1416,0.0,top
C5,73.664996,-66.1416,0.0,top
C6,81.537951,-66.1416,0.0,top
C7,89.649002,-66.1416,0.0,top
C8,97.521957,-66.1416,0.0,top
C9,105.394912,-66.1416,0.0,top
D1,42.312676,-69.1896,180.0,top
D10,112.804175,-69.1896,180.0,top
D11,120.67713,-69.1896,180.0,top
D12,128.550085,-69.1896,180.0,top
D13,136.42304,-69.1896,180.0,top
D14,144.295995,-69.1896,180.0,top
D15,152.16895,-69.1896,180.0,top
D16,160.041905,-69.1896,180.0,top
D17,48.429656,-32.766,180.0,top
D18,53.086,-56.2771,180.0,top
D2,50.058631,-69.1896,180.0,top
D3,57.931586,-69.1896,180.0,top
D4,65.804541,-69.1896,180.0,top
D5,73.677496,-69.1896,180.0,top
D6,81.550451,-69.1896,180.0,top
D7,89.661502,-69.1896,180.0,top
D8,97.534457,-69.1896,180.0,top
D9,105.407412,-69.1896,180.0,top
J1,37.412675,-77.216,0.0,top
J10,42.418,-35.730869,180.0,top
J11,111.845342,-27.0256,90.0,top
J12,135.647942,-27.046228,180.0,top
J13,98.5792,-39.602095,0.0,top
J14,59.806237,-27.156042,0.0,top
J15,85.206237,-27.156042,0.0,top
J2,52.772675,-77.216,0.0,top
J3,68.132675,-77.216,0.0,top
J4,83.492675,-77.216,0.0,top
J5,98.852675,-77.216,0.0,top
J6,114.212675,-77.216,0.0,top
J7,129.572675,-77.216,0.0,top
J8,144.932675,-77.216,0.0,top
J9,33.719442,-56.7576,270.0,top
Q1,41.063656,-27.107,0.0,top
Q2,32.935656,-47.061,180.0,top
R1,45.773252,-70.2056,270.0,top
R10,116.163342,-70.2056,270.0,top
R11,124.037342,-70.2056,270.0,top
R12,131.911342,-70.2056,270.0,top
R13,139.785342,-70.2056,270.0,top
R14,147.659342,-70.2056,270.0,top
R15,155.533342,-70.2056,270.0,top
R16,163.407342,-70.2056,270.0,top
R17,36.322,-28.0195,270.0,top
R18,36.388156,-43.18,0.0,top
R19,31.308156,-43.18,180.0,top
R2,53.425342,-70.2056,270.0,top
R20,143.764,-26.133728,270.0,top
R21,123.886842,-36.576,180.0,top
R3,61.299342,-70.2056,270.0,top
R4,69.173342,-70.2056,270.0,top
R5,77.047342,-70.2056,270.0,top
R6,84.921342,-70.2056,270.0,top
R7,93.049342,-70.2056,270.0,top
R8,100.923342,-70.2056,270.0,top
R9,108.797342,-70.2056,270.0,top
SW1,100.213342,-29.2862,0.0,top
U1,44.122842,-50.2471,270.0,top
U2,119.465342,-48.7086,90.0,top
